Singapore,0.0004821517744907272
Qatar,0.0017302451304367198
Sri Lanka,0.0027862725110431533
Maldives,0.0034081463009143806
Botswana,0.0034460753031269943
United Arab Emirates,0.00358763029400561
Bahrain,0.003949362255551181
Cyprus,0.0044276812069531
Slovakia,0.004623756624420549
Iceland,0.004692999608916699
Nepal,0.005746896275530637
Guinea,0.0059275873117590515
Cote d'Ivoire,0.006044035112965894
Kuwait,0.0061552994804357445
Gabon,0.006312991471923801
Ghana,0.006490608900247455
Mozambique,0.007126403685574431
Malaysia,0.007134363852556481
Tajikistan,0.0072960618846694796
Rwanda,0.007601672367920942
Lebanon,0.007729059820240024
Georgia,0.008185388845247447
Luxembourg,0.008350906790383803
Lithuania,0.008365602396434572
Israel,0.008413053168376396
Uzbekistan,0.008518405841192577
Venezuela,0.008738016658808738
West Bank and Gaza,0.008969741846454176
Uganda,0.009045157780195864
Belarus,0.00938134810710988
